battleID,userID,battle,n_sims
1,1,Cantina 8-E,18
2,1,Dark Side 9-B (Hard),5
3,1,Light Side 8-D (Hard),5
4,1,Light Side 7-C (Hard),5
5,1,Fleet 5-A (Hard),5
6,1,Light Side 9-D (Normal),6
7,3,Cantina 2-G,7
8,3,Fleet 1-B (Hard),5
9,3,Fleet 2-E (Hard),1
10,3,Light Side 6-B (Hard),5
11,3,Cantina 2-G,12
12,3,Dark Side 7-D (Hard),3
13,3,Fleet 2-E (Hard),4
14,3,Fleet 5-A (Hard),2
15,1,Fleet 5-B (Hard),5
16,1,Cantina 8-E,7
17,1,Light Side 8-B (Hard),5
18,1,Fleet 4-D (Normal),2
19,1,Light Side 9-D (Normal),6
