battleID,userID,battle,n_sims
1,1,Cantina 8-B,11
2,1,Dark Side 9-B (Hard),5
3,1,Light Side 8-D (Hard),5
4,1,Light Side 7-C (Hard),0
5,3,Cantina 5-D,5
6,1,Light Side 7-C (Hard),3
7,1,Fleet 1-B (Hard),5
8,3,Light Side 6-B (Hard),5
9,3,Fleet 2-A (Hard),5
10,3,Fleet 3-D (Hard),1
11,1,Fleet 5-A (Hard),2
12,1,Cantina 8-B,7
13,1,Light Side 7-C (Hard),1
14,1,Dark Side 8-E (Normal),16
15,1,Fleet 5-A (Hard),3
16,1,Fleet 5-H (Normal),7
17,3,Cantina 5-D,10
18,3,Light Side 8-D (Hard),2
19,3,Light Side 8-D (Hard),2
20,3,Fleet 2-E (Hard),2
21,1,Fleet 5-H (Normal),4
22,1,Dark Side 9-B (Normal),8
