battleID,userID,battle,n_sims
1,1,Cantina 6-D,15
2,1,Dark Side 9-B (Hard),5
3,1,Dark Side 5-D (Hard),5
4,1,Light Side 8-D (Hard),5
5,1,Light Side 7-C (Hard),4
6,1,Fleet 1-B (Hard),5
7,1,Fleet 5-A (Hard),2
8,3,Light Side 6-B (Hard),5
9,3,Fleet 1-B (Hard),5
10,3,Cantina 2-G,8
11,3,Fleet 2-E (Hard),3
12,1,Light Side 7-C (Hard),1
13,1,Fleet 5-A (Hard),3
14,1,Cantina 6-D,8
15,1,Dark Side 8-B (Normal),13
16,1,Fleet 1-E (Normal),6
17,3,Cantina 2-G,12
18,3,Dark Side 7-D (Hard),5
19,3,Light Side 8-D (Hard),3
20,3,Fleet 2-E (Hard),2
21,3,Fleet 5-A (Hard),3
