battleID,userID,battle,n_sims
1,1,Cantina 8-C,4
2,1,Light Side 8-D (Hard),5
3,1,Fleet 5-A (Hard),5
4,1,Light Side 8-B (Hard),5
5,1,Fleet 5-B (Hard),5
6,1,Fleet 5-D (Hard),2
7,1,Dark Side 8-B (Normal),20
8,1,Dark Side 8-B (Normal),8
9,3,Cantina 7-G,3
10,3,Light Side 8-D (Hard),5
11,3,Fleet 5-A (Hard),5
12,3,Dark Side 7-D (Hard),1
13,3,Fleet 2-E (Hard),2
14,1,Dark Side 8-B (Normal),17
15,1,Cantina 8-C,7
16,1,Fleet 5-D (Hard),3
17,1,Fleet 5-C (Hard),3
18,3,Cantina 7-G,7
19,3,Fleet 2-E (Hard),3
20,3,Dark Side 7-D (Hard),4
21,3,Dark Side 9-B (Hard),4
22,3,Fleet 1-B (Hard),4
