battleID,userID,battle,n_sims
1,1,Cantina 6-D,20
2,1,Dark Side 9-B (Hard),4
3,1,Light Side 8-D (Hard),5
4,1,Cantina 6-D,6
5,1,Dark Side 5-D (Hard),4
6,1,Fleet 1-B (Hard),4
7,1,Fleet 5-A (Hard),3
8,3,Light Side 6-B (Hard),5
9,3,Fleet 1-B (Hard),5
10,3,Light Side 8-D (Hard),3
11,3,Fleet 2-E (Hard),3
12,3,Cantina 2-G,9
13,1,Dark Side 5-D (Hard),1
14,1,Dark Side 8-B (Normal),14
15,1,Fleet 5-A (Hard),2
16,1,Fleet 5-B (Hard),4
17,1,Cantina 6-D,8
18,3,Cantina 2-G,13
19,3,Dark Side 7-D (Hard),5
20,3,Light Side 8-D (Hard),2
21,3,Fleet 2-E (Hard),2
22,1,Dark Side 8-B (Normal),8
23,1,Fleet 2-E (Normal),4
