battleID,userID,battle,n_sims
1,3,Light Side 6-B (Hard),5
2,3,Dark Side 7-D (Hard),3
3,3,Cantina 2-G,9
4,3,Fleet 1-B (Hard),5
5,3,Fleet 2-E (Hard),3
6,1,Dark Side 9-B (Hard),5
7,1,Dark Side 5-D (Hard),5
8,1,Cantina 6-D,16
9,1,Light Side 8-D (Hard),4
10,1,Fleet 1-B (Hard),5
11,1,Fleet 5-A (Hard),3
12,3,Cantina 2-G,12
13,3,Dark Side 7-D (Hard),2
14,3,Light Side 8-D (Hard),5
15,3,Dark Side 9-B (Hard),1
16,3,Fleet 2-E (Hard),2
17,3,Fleet 5-A (Hard),3
18,1,Light Side 8-D (Hard),1
19,1,Cantina 6-D,8
20,1,Fleet 5-A (Hard),2
21,1,Dark Side 9-F (Normal),14
22,1,Fleet 1-G (Normal),9
23,1,Dark Side 8-B (Normal),8
24,1,Fleet 1-E (Normal),5
