battleID,userID,battle,n_sims
1,3,Light Side 6-B (Hard),5
2,1,Dark Side 9-B (Hard),5
3,1,Light Side 8-D (Hard),5
4,3,Fleet 5-A (Hard),5
5,3,Cantina 2-G,8
6,3,Dark Side 7-D (Hard),3
7,3,Fleet 2-E (Hard),5
8,3,Fleet 5-A (Hard),1
9,1,Fleet 5-B (Hard),5
10,1,Light Side 8-B (Hard),5
11,1,Dark Side 8-B (Normal),8
12,1,Cantina 8-F,4
13,1,Fleet 5-D (Hard),3
14,1,Cantina 8-F,6
15,1,Fleet 5-D (Hard),2
16,1,Dark Side 8-B (Normal),15
17,1,Fleet 5-C (Hard),3
18,3,Cantina 2-G,12
19,3,Dark Side 9-B (Hard),5
20,3,Fleet 5-A (Hard),4
21,3,Dark Side 7-D (Hard),2
22,3,Fleet 1-B (Hard),2
