battleID,userID,battle,n_sims
1,1,Cantina 8-F,17
2,1,Light Side 8-D (Hard),5
3,1,Fleet 1-B (Hard),5
4,1,Dark Side 5-D (Hard),2
5,1,Fleet 2-E (Normal),5
6,3,Cantina 2-G,8
7,3,Light Side 6-B (Hard),5
8,3,Fleet 2-A (Hard),5
9,3,Dark Side 7-D (Hard),2
10,3,Fleet 3-D (Hard),2
11,1,Cantina 8-C,8
12,1,Cantina 8-B,6
13,1,Dark Side 5-D (Hard),3
14,1,Dark Side 9-B (Hard),5
15,1,Fleet 5-A (Hard),5
16,3,Cantina 2-G,12
17,3,Dark Side 7-D (Hard),3
18,3,Light Side 8-D (Hard),5
19,3,Fleet 3-D (Hard),3
20,3,Fleet 2-E (Hard),2
21,3,Dark Side 9-B (Hard),4
22,3,Fleet 2-E (Hard),2
23,1,Fleet 2-E (Normal),4
24,1,Light Side 7-B (Normal),8
