battleID,userID,battle,n_sims
1,1,Cantina 5-A,20
2,1,Cantina 5-A,6
3,1,Dark Side 5-D (Hard),4
4,1,Dark Side 9-B (Hard),5
5,1,Light Side 8-D (Hard),5
6,1,Fleet 1-B (Hard),5
7,1,Fleet 5-A (Hard),3
8,3,Cantina 2-G,8
9,3,Light Side 6-B (Hard),5
10,3,Dark Side 7-D (Hard),3
11,3,Fleet 2-A (Hard),5
12,3,Dark Side 7-D (Hard),2
13,3,Cantina 2-G,12
14,3,Light Side 8-D (Hard),5
15,3,Fleet 2-E (Hard),5
16,3,Fleet 1-B (Hard),2
17,1,Cantina 5-A,8
18,1,Fleet 5-A (Hard),2
19,1,Light Side 7-C (Hard),5
20,1,Light Side 6-D (Normal),11
21,1,Fleet 1-G (Normal),9
