battleID,userID,battle,n_sims
1,1,Cantina 6-D,20
2,1,Dark Side 9-B (Hard),5
3,1,Light Side 7-C (Hard),5
4,1,Light Side 8-D (Hard),5
5,1,Cantina 8-E,3
6,1,Fleet 5-A (Hard),5
7,1,Fleet 5-B (Hard),1
8,1,Dark Side 7-C (Hard),4
9,3,Cantina 2-G,7
10,3,Light Side 6-B (Hard),5
11,3,Dark Side 7-D (Hard),2
12,3,Fleet 2-E (Hard),5
13,3,Fleet 5-A (Hard),1
14,3,Cantina 2-G,14
15,3,Light Side 8-D (Hard),5
16,3,Dark Side 7-D (Hard),3
17,3,Fleet 1-B (Hard),5
18,3,Fleet 5-A (Hard),2
19,1,Fleet 5-B (Hard),4
20,1,Light Side 8-B (Hard),5
21,1,Cantina 8-E,7
22,1,Dark Side 7-C (Hard),1
23,1,Fleet 4-F (Normal),6
24,1,Dark Side 9-E (Normal),5
