battleID,userID,battle,n_sims
1,1,Cantina 6-D,20
2,1,Cantina 6-D,6
3,1,Light Side 6-B (Hard),5
4,1,Fleet 1-B (Hard),5
5,1,Light Side 7-C (Hard),5
6,1,Fleet 5-A (Hard),5
7,1,Light Side 8-D (Hard),5
8,1,Fleet 5-B (Hard),2
9,1,Dark Side 9-B (Hard),5
10,1,Dark Side 9-E (Normal),8
11,3,Cantina 2-G,8
12,3,Fleet 2-E (Hard),3
13,1,Cantina 6-D,8
14,1,Light Side 8-B (Hard),5
15,1,Fleet 4-D (Normal),11
16,1,Dark Side 9-E (Normal),6
17,3,Cantina 2-G,13
18,3,Fleet 2-E (Hard),2
19,3,Dark Side 9-B (Hard),5
20,3,Light Side 8-D (Hard),3
21,3,Fleet 5-A (Hard),3
