battleID,userID,battle,n_sims
1,1,Cantina 6-D,20
2,1,Cantina 6-D,6
3,1,Dark Side 9-B (Hard),5
4,1,Light Side 8-D (Hard),5
5,1,Light Side 7-C (Hard),5
6,1,Light Side 8-B (Hard),4
7,1,Fleet 5-A (Hard),5
8,1,Fleet 5-B (Hard),2
9,3,Light Side 6-B (Hard),5
10,3,Dark Side 7-D (Hard),3
11,3,Cantina 2-G,9
12,3,Fleet 1-B (Hard),5
13,3,Fleet 2-E (Hard),3
14,1,Cantina 6-D,7
15,1,Fleet 5-B (Hard),3
16,1,Light Side 8-B (Hard),1
17,1,Fleet 4-D (Normal),3
18,1,Dark Side 8-B (Normal),12
19,3,Dark Side 7-D (Hard),2
20,3,Cantina 2-G,12
21,3,Fleet 2-E (Hard),2
22,3,Light Side 8-D (Hard),5
23,3,Fleet 5-A (Hard),2
24,1,Fleet 4-D (Normal),4
25,1,Dark Side 9-E (Normal),8
