battleID,userID,battle,n_sims
1,1,Cantina 6-D,20
2,1,Cantina 6-D,5
3,1,Light Side 7-C (Hard),5
4,1,Light Side 8-D (Hard),5
5,1,Dark Side 9-B (Hard),5
6,1,Fleet 5-A (Hard),5
7,1,Light Side 8-B (Hard),3
8,3,Light Side 6-B (Hard),5
9,3,Cantina 2-G,7
10,3,Fleet 1-B (Hard),5
11,3,Dark Side 7-D (Hard),2
12,3,Fleet 2-E (Hard),2
13,3,Dark Side 7-D (Hard),3
14,3,Light Side 8-D (Hard),5
15,3,Cantina 2-G,13
16,3,Fleet 2-E (Hard),3
17,3,Fleet 5-A (Hard),2
18,1,Cantina 6-D,9
19,1,Light Side 8-B (Hard),2
20,1,Fleet 5-B (Hard),5
21,1,Fleet 4-D (Normal),3
