battleID,userID,battle,n_sims
1,1,Dark Side 5-D (Hard),5
2,1,Dark Side 9-B (Hard),5
3,1,Cantina 6-D,15
4,1,Fleet 1-B (Hard),5
5,1,Light Side 8-D (Hard),4
6,1,Fleet 5-A (Hard),2
7,3,Cantina 2-G,8
8,3,Light Side 6-B (Hard),5
9,3,Dark Side 7-D (Hard),1
10,3,Fleet 1-B (Hard),5
11,3,Fleet 2-E (Hard),3
12,1,Cantina 6-D,9
13,1,Light Side 8-D (Hard),1
14,1,Light Side 7-B (Normal),13
15,1,Fleet 5-A (Hard),3
16,1,Fleet 1-G (Normal),8
17,3,Cantina 2-G,13
18,3,Dark Side 7-D (Hard),4
19,3,Light Side 8-D (Hard),4
20,3,Fleet 2-E (Hard),2
21,3,Fleet 5-A (Hard),3
