battleID,userID,battle,n_sims
1,1,Cantina 8-B,11
2,1,Dark Side 9-B (Hard),5
3,1,Dark Side 5-D (Hard),5
4,1,Light Side 8-D (Hard),5
5,1,Light Side 8-H (Normal),17
6,1,Fleet 1-B (Hard),5
7,1,Fleet 5-A (Hard),2
8,3,Cantina 5-D,5
9,3,Light Side 6-B (Hard),3
10,3,Fleet 2-A (Hard),5
11,3,Fleet 3-D (Hard),2
12,1,Cantina 8-B,7
13,1,Light Side 8-G (Normal),16
14,1,Fleet 5-A (Hard),3
15,1,Fleet 4-D (Normal),7
16,3,Cantina 5-D,8
17,3,Dark Side 7-D (Hard),5
18,3,Fleet 3-D (Hard),3
19,3,Light Side 8-D (Hard),3
20,3,Fleet 2-E (Hard),3
21,1,Fleet 4-D (Normal),4
22,1,Light Side 8-G (Normal),8
23,3,Fleet 2-E (Hard),2
24,3,Light Side 8-D (Hard),2
25,3,Dark Side 9-B (Hard),2
