battleID,userID,battle,n_sims
1,3,Cantina 2-G,8
2,3,Light Side 6-B (Hard),5
3,3,Dark Side 7-D (Hard),2
4,3,Fleet 1-B (Hard),5
5,3,Fleet 2-E (Hard),2
6,1,Cantina 8-E,19
7,1,Dark Side 9-B (Hard),5
8,1,Light Side 8-D (Hard),5
9,1,Light Side 7-C (Hard),5
10,1,Dark Side 5-D (Hard),5
11,1,Fleet 5-A (Hard),5
12,1,Fleet 5-B (Hard),1
13,1,Cantina 8-E,7
14,1,Fleet 5-B (Hard),4
15,1,Dark Side 8-B (Normal),17
16,1,Fleet 1-E (Normal),8
17,3,Dark Side 7-D (Hard),3
18,3,Cantina 2-G,14
19,3,Light Side 8-D (Hard),5
20,3,Dark Side 9-B (Hard),1
21,3,Fleet 2-E (Hard),3
22,3,Fleet 5-A (Hard),4
23,1,Fleet 4-D (Normal),4
24,1,Light Side 9-D (Normal),8
