battleID,userID,battle,n_sims
1,1,Cantina 8-B,19
2,1,Fleet 1-B (Hard),5
3,1,Light Side 8-D (Hard),1
4,1,Light Side 8-D (Hard),4
5,1,Dark Side 5-D (Hard),5
6,1,Dark Side 9-B (Hard),4
7,1,Fleet 5-A (Hard),3
8,3,Cantina 2-G,9
9,3,Light Side 6-B (Hard),5
10,3,Fleet 2-A (Hard),5
11,3,Dark Side 7-D (Hard),1
12,3,Fleet 3-D (Hard),2
13,1,Cantina 8-B,6
14,1,Dark Side 9-B (Hard),1
15,1,Fleet 5-A (Hard),2
16,1,Fleet 5-B (Hard),3
17,1,Light Side 8-E (Normal),1
18,1,Light Side 8-E (Normal),12
19,3,Cantina 2-G,12
20,3,Dark Side 7-D (Hard),4
21,3,Light Side 8-D (Hard),3
22,3,Fleet 3-D (Hard),3
23,3,Fleet 2-E (Hard),2
